obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""320.037""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2131""",
"=""331.934""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3512""",
"=""337.347""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3512""",
"=""339.373""","=""""","=""7""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3512""",
"=""""","=""340.61804""","=""""","=""3.9e+05""",D,"=""95399.8276""","=""124749.805""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).7p""","=""2[1/2]""","=""0""",,"=""T1086n""","=""""",
"=""346.107""","=""346.10783""","=""7""","=""6.7e+04""",D,"=""93750.5978""","=""122635.054""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",,"=""T1086n""","=""L3512""",
"=""355.4306""","=""355.43055""","=""7""","=""2.7e+05""",D,"=""93143.7600""","=""121270.617""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""",,"=""T1086n""","=""L2634""",
"=""""","=""356.32859""","=""""","=""1.2e+05""",D,"=""94553.6652""","=""122609.637""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",,"=""T1086n""","=""""",
"=""""","=""356.76560""","=""""","=""1.1e+05""",D,"=""93143.7600""","=""121165.367""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""",,"=""T1086n""","=""""",
"=""""","=""357.22953""","=""""","=""5.1e+05""",D,"=""95399.8276""","=""123385.044""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""",,"=""T1086n""","=""""",
"=""360.6522""","=""360.65217""","=""7""","=""7.6e+05""",D,"=""93750.5978""","=""121470.238""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""",,"=""T1086n""","=""L2634""",
"=""""","=""363.26829""","=""""","=""6.6e+04""",D,"=""93750.5978""","=""121270.617""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""",,"=""T1086n""","=""""",
"=""""","=""363.44600""","=""""","=""1.3e+05""",D,"=""93750.5978""","=""121257.161""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""",,"=""T1086n""","=""""",
"=""""","=""364.31163""","=""""","=""2.4e+04""",D,"=""93750.5978""","=""121191.805""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""",,"=""T1086n""","=""""",
"=""""","=""364.98317""","=""""","=""8.0e+05""",D,"=""95399.8276""","=""122790.547""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""",,"=""T1086n""","=""""",
"=""""","=""365.95291""","=""""","=""4.4e+04""",D,"=""93750.5978""","=""121068.736""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",,"=""T1086n""","=""""",
"=""""","=""367.06701""","=""""","=""3.1e+04""",D,"=""95399.8276""","=""122635.054""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",,"=""T1086n""","=""""",
"=""""","=""367.52352""","=""""","=""4.9e+04""",D,"=""95399.8276""","=""122601.225""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""",,"=""T1086n""","=""""",
"=""377.0369""","=""377.03689""","=""20""","=""7.0e+04""",D,"=""94553.6652""","=""121068.736""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",,"=""T1086n""","=""L2634""",
"=""383.4679""","=""383.46784""","=""7""","=""7.5e+05""",D,"=""95399.8276""","=""121470.238""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""",,"=""T1086n""","=""L2634""",
"=""""","=""389.46601""","=""""","=""5.7e+04""",D,"=""95399.8276""","=""121068.736""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",,"=""T1086n""","=""""",
"=""394.7505""","=""394.750472""","=""7""","=""5.6e+04""",C+,"=""93143.7600""","=""118469.0508""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
"=""394.8979""","=""394.897881""","=""35""","=""4.6e+05""",B,"=""93143.7600""","=""118459.5975""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""404.4418""","=""404.441804""","=""50""","=""3.3e+05""",B,"=""93750.5978""","=""118469.0508""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
"=""""","=""404.596541""","=""""","=""4.1e+04""",B,"=""93750.5978""","=""118459.5975""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""""",
"=""""","=""405.452576""","=""""","=""2.7e+04""",C+,"=""93750.5978""","=""118407.4303""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""""",
"=""415.8590""","=""415.859070""","=""400""","=""1.40e+06""",B,"=""93143.7600""","=""117183.5901""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
"=""416.4180""","=""416.417952""","=""50""","=""2.9e+05""",B,"=""93143.7600""","=""117151.3264""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""418.1884""","=""418.188354""","=""50""","=""5.6e+05""",B,"=""94553.6652""","=""118459.5975""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""419.0713""","=""419.071294""","=""100""","=""2.80e+05""",B,"=""93143.7600""","=""116999.3259""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""T5223""","=""L2634""",
"=""419.1029""","=""419.102932""","=""50""","=""5.4e+05""",C+,"=""94553.6652""","=""118407.4303""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""419.8317""","=""419.831729""","=""200""","=""2.57e+06""",B,"=""93750.5978""","=""117562.9553""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",,"=""T5223""","=""L2634""",
"=""420.0674""","=""420.067472""","=""400""","=""9.7e+05""",B+,"=""93143.7600""","=""116942.7542""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""",,"=""T5223""","=""L2634""",
"=""425.1185""","=""425.11849""","=""25""","=""1.11e+05""",C+,"=""93143.7600""","=""116659.9934""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""2""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""425.9362""","=""425.93617""","=""200""","=""3.98e+06""",B+,"=""95399.8276""","=""118870.9170""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",,"=""T5223""","=""L2634""",
"=""426.6286""","=""426.62867""","=""100""","=""3.1e+05""",C+,"=""93750.5978""","=""117183.5901""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
"=""427.2169""","=""427.21689""","=""150""","=""8.0e+05""",B,"=""93750.5978""","=""117151.3264""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""430.0101""","=""430.01009""","=""100""","=""3.77e+05""",B+,"=""93750.5978""","=""116999.3259""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""T5223""","=""L2634""",
"=""433.3561""","=""433.35612""","=""100""","=""5.7e+05""",B+,"=""95399.8276""","=""118469.0508""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""L2634""",
"=""433.5338""","=""433.53378""","=""50""","=""3.9e+05""",C+,"=""95399.8276""","=""118459.5975""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""434.5168""","=""434.51679""","=""25""","=""3.0e+05""",B,"=""95399.8276""","=""118407.4303""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""""","=""436.37949""","=""""","=""1.20e+04""",B,"=""93750.5978""","=""116659.9934""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""""",
"=""""","=""442.39944""","=""""","=""7.3e+03""",C+,"=""94553.6652""","=""117151.3264""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""""",
"=""451.0733""","=""451.07334""","=""100""","=""1.18e+06""",B+,"=""95399.8276""","=""117562.9553""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",,"=""T5223""","=""L2634""",
"=""452.2323""","=""452.23234""","=""20""","=""9.0e+04""",B,"=""94553.6652""","=""116659.9934""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""0""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""""","=""454.4746""","=""""","=""8.3e+04""",E,"=""104102.0990""","=""126099.36""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).11d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""455.4324""","=""""","=""3.8e+04""",E,"=""104102.0990""","=""126053.10""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""458.4956""","=""""","=""1.6e+05""",E,"=""104102.0990""","=""125906.45""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""458.6611""","=""""","=""2.3e+05""",E,"=""104102.0990""","=""125898.58""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""458.7209""","=""""","=""4.9e+05""",E,"=""104102.0990""","=""125895.74""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[1/2]*""","=""0""",,"=""T1164n""","=""""",
"=""""","=""458.92893""","=""""","=""6.2e+03""",C,"=""95399.8276""","=""117183.5901""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""",,"=""T5223""","=""""",
"=""459.6097""","=""459.60966""","=""15""","=""9.5e+04""",B,"=""95399.8276""","=""117151.3264""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""462.8441""","=""462.84409""","=""7""","=""3.83e+04""",B+,"=""95399.8276""","=""116999.3259""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",,"=""T5223""","=""L2634""",
"=""""","=""464.2137""","=""""","=""9.6e+04""",E,"=""104102.0990""","=""125637.87""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""464.7489""","=""""","=""1.2e+05""",E,"=""104102.0990""","=""125613.07""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
"=""470.2316""","=""470.23164""","=""15""","=""1.09e+05""",B,"=""95399.8276""","=""116659.9934""","=""3s2.3p5.(2P*<1/2>).4s""","=""2[1/2]*""","=""1""","=""3s2.3p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",,"=""T5223""","=""L2634""",
"=""""","=""474.6821""","=""""","=""3.6e+05""",E,"=""104102.0990""","=""125162.94""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""0""",,"=""T1164n""","=""""",
"=""""","=""475.29388""","=""""","=""4.5e+05""",E,"=""104102.0990""","=""125135.831""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""476.86729""","=""""","=""8.6e+05""",D,"=""104102.0990""","=""125066.432""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""479.8742""","=""""","=""8.8e+04""",E,"=""105462.7596""","=""126295.73""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""4""",,"=""T1164n""","=""""",
"=""""","=""483.5970""","=""""","=""9.3e+04""",E,"=""105462.7596""","=""126135.36""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).11d""","=""2[7/2]*""","=""4""",,"=""T1164n""","=""""",
"=""""","=""483.6697""","=""""","=""1.02e+05""",C,"=""104102.0990""","=""124771.59""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""487.62607""","=""""","=""7.8e+05""",D,"=""104102.0990""","=""124603.890""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""488.6290""","=""""","=""1.2e+05""",E,"=""105462.7596""","=""125922.47""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""4""",,"=""T1164n""","=""""",
"=""""","=""488.79471""","=""""","=""1.3e+06""",D,"=""104102.0990""","=""124554.874""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""489.46909""","=""""","=""1.8e+06""",D,"=""104102.0990""","=""124526.695""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""""",
"=""""","=""492.1034""","=""""","=""5.9e+04""",E,"=""105617.2700""","=""125932.53""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).10d""","=""2[7/2]*""","=""3""",,"=""T1164n""","=""""",
"=""""","=""493.7720""","=""""","=""3.6e+04""",E,"=""105462.7596""","=""125709.37""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""495.6750""","=""""","=""1.8e+05""",E,"=""105462.7596""","=""125631.64""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""4""",,"=""T1164n""","=""""",
"=""""","=""498.9943""","=""""","=""1.1e+05""",E,"=""105617.2700""","=""125651.99""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[7/2]*""","=""3""",,"=""T1164n""","=""""",
"=""""","=""503.2024""","=""""","=""8.2e+04""",E,"=""105462.7596""","=""125329.94""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""504.8811""","=""""","=""4.6e+05""",D,"=""104102.0990""","=""123903.220""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""505.4176""","=""""","=""4.5e+05""",D,"=""104102.0990""","=""123882.203""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""505.6529""","=""""","=""5.7e+05""",D,"=""104102.0990""","=""123873.000""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""""",
"=""""","=""506.0079""","=""""","=""3.7e+05""",E,"=""105462.7596""","=""125219.788""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""4""",,"=""T1164n""","=""""",
"=""""","=""507.0977""","=""""","=""2.6e+05""",E,"=""105617.2700""","=""125331.84""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""507.3076""","=""""","=""5.9e+04""",D,"=""104102.0990""","=""123808.513""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""507.8033""","=""""","=""4.7e+04""",E,"=""105462.7596""","=""125149.937""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""T1164n""","=""""",
"=""""","=""508.7084""","=""""","=""1.6e+05""",E,"=""105617.2700""","=""125269.42""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8d""","=""2[7/2]*""","=""3""",,"=""T1164n""","=""""",
"=""""","=""510.4729""","=""""","=""8.7e+04""",E,"=""106087.2598""","=""125671.48""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).9d""","=""2[5/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""511.8202""","=""""","=""2.7e+05""",D+,"=""105617.2700""","=""125149.937""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""""",
