obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""594.3888""","=""""","=""3.6e+04""",D,"=""105462.7596""","=""122282.104""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""594.9259""","=""""","=""1.5e+05""",D,"=""107131.7086""","=""123935.870""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""596.448""","=""""","=""7.7e+04""",D,"=""107054.2720""","=""123815.56""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""596.8320""","=""""","=""1.8e+05""",D,"=""107131.7086""","=""123882.203""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""597.1601""","=""""","=""1.1e+06""",D+,"=""107131.7086""","=""123873.000""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""""",
"=""""","=""598.1923""","=""""","=""1.2e+04""",D,"=""105617.2700""","=""122329.672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""""",
"=""598.7302""","=""598.73013""","=""7""","=""1.2e+05""",D,"=""105462.7596""","=""122160.1502""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T1218n""","=""L2634""",
"=""""","=""598.8144""","=""""","=""6.1e+04""",D,"=""107131.7086""","=""123826.750""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""599.4692""","=""""","=""2.6e+04""",D,"=""107131.7086""","=""123808.513""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""599.8999""","=""599.8998""","=""5""","=""1.4e+05""",D,"=""105617.2700""","=""122282.104""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""600.5725""","=""""","=""1.4e+05""",D+,"=""107289.7001""","=""123935.870""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""601.36772""","=""""","=""1.4e+05""",D+,"=""105462.7596""","=""122086.9164""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""602.5150""","=""602.5150""","=""5""","=""9.0e+05""",D+,"=""107289.7001""","=""123882.203""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""L2634""",
"=""603.2127""","=""603.21270""","=""70""","=""2.46e+06""",C,"=""105462.7596""","=""122036.0704""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""",,"=""T1218n,T1164n""","=""L2634""",
"=""604.3223""","=""604.32232""","=""35""","=""1.47e+06""",C,"=""105617.2700""","=""122160.1502""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T1218n""","=""L2634""",
"=""605.2723""","=""605.27226""","=""10""","=""1.9e+05""",D+,"=""104102.0990""","=""120619.0162""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""605.9372""","=""605.93723""","=""20""","=""4.2e+05""",C,"=""104102.0990""","=""120600.8905""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",,"=""T1218n,T1164n""","=""L2634""",
"=""""","=""606.47502""","=""""","=""5.8e+04""",D,"=""107289.7001""","=""123773.8614""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[7/2]*""","=""3""",,"=""T1218n""","=""""",
"=""""","=""608.1244""","=""""","=""7.5e+04""",D,"=""107496.4166""","=""123935.870""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""608.5879""","=""""","=""9.0e+03""",,"=""106087.2598""","=""122514.192""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""609.07849""","=""""","=""3.0e+05""",D,"=""107054.2720""","=""123467.9733""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""609.8803""","=""609.88031""","=""7""","=""5.2e+05""",D+,"=""106087.2598""","=""122479.3820""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""L2634""",
"=""""","=""610.1161""","=""""","=""3.3e+05""",D+,"=""107496.4166""","=""123882.203""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""610.4590""","=""""","=""3.4e+05""",D,"=""107496.4166""","=""123873.000""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""""",
"=""610.5635""","=""610.56348""","=""10""","=""1.21e+06""",C,"=""107131.7086""","=""123505.4896""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""611.34657""","=""""","=""4.7e+04""",D+,"=""106087.2598""","=""122440.0672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""611.96565""","=""""","=""5.1e+04""",D+,"=""107131.7086""","=""123467.9733""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""612.1879""","=""""","=""1.3e+04""",D,"=""107496.4166""","=""123826.750""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""612.74159""","=""""","=""1.1e+05""",D+,"=""105617.2700""","=""121932.8477""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""612.8724""","=""""","=""8.6e+04""",D,"=""107496.4166""","=""123808.513""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""614.5441""","=""614.54412""","=""10""","=""7.6e+05""",C,"=""107289.7001""","=""123557.4227""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""L2634""",
"=""""","=""615.52382""","=""""","=""5.1e+05""",D,"=""106237.5518""","=""122479.3820""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""616.51229""","=""""","=""9.89e+04""",C,"=""107289.7001""","=""123505.4896""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
"=""617.0174""","=""617.01738""","=""7""","=""5.0e+05""",C,"=""106237.5518""","=""122440.0672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""617.3096""","=""617.3096""","=""10""","=""6.7e+05""",C,"=""106087.2598""","=""122282.104""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""617.94195""","=""""","=""6.6e+04""",D,"=""107289.7001""","=""123467.9733""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""621.2503""","=""621.2503""","=""10""","=""3.9e+05""",D+,"=""106237.5518""","=""122329.672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""L2634""",
"=""621.5938""","=""621.59387""","=""5""","=""5.7e+05""",D+,"=""107289.7001""","=""123372.9253""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""623.0921""","=""""","=""1.2e+04""",D,"=""106237.5518""","=""122282.104""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""624.3390""","=""""","=""1.3e+05""",D,"=""107496.4166""","=""123508.927""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""""",
"=""""","=""624.47304""","=""""","=""2.0e+04""",D,"=""107496.4166""","=""123505.4896""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""624.84057""","=""""","=""6.8e+04""",D,"=""106087.2598""","=""122086.9164""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""627.86454""","=""""","=""2.0e+04""",D,"=""106237.5518""","=""122160.1502""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T1218n""","=""""",
"=""629.6872""","=""629.68726""","=""7""","=""9.0e+05""",D+,"=""107496.4166""","=""123372.9253""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""630.7657""","=""630.76569""","=""15""","=""6.0e+05""",D+,"=""106237.5518""","=""122086.9164""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""630.91603""","=""""","=""7.6e+04""",D,"=""106087.2598""","=""121932.8477""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""636.48937""","=""""","=""5.6e+05""",D+,"=""106087.2598""","=""121794.0988""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""""",
"=""636.9575""","=""636.95748""","=""7""","=""4.2e+05""",D+,"=""106237.5518""","=""121932.8477""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""L2634""",
"=""638.4717""","=""638.47167""","=""20""","=""4.21e+05""",C,"=""104102.0990""","=""119760.1725""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""L2634""",
"=""641.6307""","=""641.63067""","=""70""","=""1.16e+06""",C,"=""104102.0990""","=""119683.0821""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""643.15549""","=""""","=""5.1e+04""",D,"=""105617.2700""","=""121161.3135""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""646.6552""","=""""","=""1.5e+05""",D,"=""107054.2720""","=""122514.192""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""648.11450""","=""""","=""9.4e+04""",D,"=""107054.2720""","=""122479.3820""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""649.39688""","=""""","=""3.1e+04""",D,"=""105617.2700""","=""121011.9198""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""651.38458""","=""""","=""5.4e+04""",D,"=""107131.7086""","=""122479.3820""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T1164n""","=""""",
"=""653.8112""","=""653.81117""","=""15""","=""1.1e+05""",D+,"=""105462.7596""","=""120753.4714""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""L2634""",
"=""""","=""659.61134""","=""""","=""2.3e+04""",D,"=""105462.7596""","=""120619.0162""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""659.86776""","=""""","=""3.6e+04""",D,"=""107289.7001""","=""122440.0672""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T1164n""","=""""",
"=""""","=""660.40114""","=""""","=""2.8e+05""",D+,"=""105462.7596""","=""120600.8905""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""660.4853""","=""660.48532""","=""15""","=""1.3e+04""",D,"=""105617.2700""","=""120753.4714""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""L2634""",
"=""""","=""663.20841""","=""""","=""5.3e+04""",D,"=""106087.2598""","=""121161.3135""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""665.6938""","=""""","=""3.1e+04""",D,"=""107496.4166""","=""122514.192""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T1164n""","=""""",
"=""666.0676""","=""666.0677""","=""5""","=""7.8e+05""",D,"=""106087.2598""","=""121096.605""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""L2634""",
"=""666.4051""","=""666.40506""","=""5""","=""1.5e+05""",D+,"=""105617.2700""","=""120619.0162""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""667.7282""","=""667.72811""","=""100""","=""2.36e+05""",B,"=""93750.5978""","=""108722.6194""","=""3s2.3p5.(2P*<3/2>).4s""","=""2[3/2]*""","=""1""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""",,"=""T5223""","=""L2634""",
"=""""","=""668.47883""","=""""","=""3.9e+04""",D,"=""107131.7086""","=""122086.9164""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""669.84708""","=""""","=""2.5e+04""",D,"=""106087.2598""","=""121011.9198""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""669.88740""","=""""","=""1.6e+05""",D+,"=""106237.5518""","=""121161.3135""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""671.92185""","=""""","=""2.4e+05""",D,"=""107054.2720""","=""121932.8477""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""672.28901""","=""""","=""3.2e+04""",D,"=""107289.7001""","=""122160.1502""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",,"=""T1218n""","=""""",
"=""675.2834""","=""675.28335""","=""150""","=""1.93e+06""",C,"=""104102.0990""","=""118906.6110""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""675.43724""","=""""","=""2.1e+05""",D,"=""107131.7086""","=""121932.8477""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""675.6163""","=""675.61630""","=""5""","=""3.6e+05""",D+,"=""107289.7001""","=""122086.9164""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""676.6612""","=""676.66113""","=""15""","=""4.0e+05""",D+,"=""106237.5518""","=""121011.9198""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""L2634""",
"=""""","=""677.99259""","=""""","=""1.21e+05""",C,"=""108722.6194""","=""123467.9733""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
"=""""","=""681.82888""","=""""","=""2.0e+05""",D,"=""107131.7086""","=""121794.0988""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""""",
"=""""","=""682.72488""","=""""","=""2.4e+05""",D,"=""107289.7001""","=""121932.8477""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""685.18842""","=""""","=""6.7e+04""",D,"=""107496.4166""","=""122086.9164""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""687.1289""","=""687.12889""","=""150""","=""2.78e+06""",C,"=""104102.0990""","=""118651.3950""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""L2634""",
"=""687.9582""","=""687.95825""","=""5""","=""1.8e+05""",D+,"=""106087.2598""","=""120619.0162""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""L2634""",
